"Period","IGAE","IGAE_SA","Tendencia","FE","Irregular"
"2001/01",79.423458,80.3061836914914,79.9965899742781,0.982681706348971,1.00387008642884
"2001/02",76.41925797,80.0066332143351,79.7065542132238,0.958569502632874,1.00376479706184
"2001/03",80.76787395,79.536531044874,79.4851358521109,1.00602028349601,1.00064660130743
"2001/04",77.53115468,78.8839366078063,79.3183363828854,0.998326722463347,0.994523337290104
"2001/05",81.78408862,78.8869578099703,79.2579761358369,1.02798157322807,0.995318851881471
"2001/06",80.60700763,79.2441897357808,79.308634371059,1.01875629215467,0.999187419682745
"2001/07",79.32531293,79.6838196975051,79.4238190358802,0.997767196052069,1.00327358549086
"2001/08",80.5870321,79.9392457928797,79.5227315754772,1.00142092692428,1.0052376749283
"2001/09",78.26957304,80.6673031058488,79.519494306114,0.981469562546462,1.01443430708093
"2001/10",79.97355162,78.7507473253961,79.3950833666817,1.0090315991688,0.991884433972948
"2001/11",80.09389928,79.2130313614597,79.1942048676593,1.00602396836581,1.00023772564965
"2001/12",79.09246906,79.0649973682029,79.003734760477,1.01173109862736,1.00077543938792
"2002/01",77.38628506,78.0626536076415,78.8770059863651,0.982974854569867,0.989675668231317
"2002/02",75.10931535,78.6290257181058,78.8270477290458,0.958644743210987,0.997487892587063
"2002/03",77.12227245,78.8352840579043,78.8512699871319,1.00577844602885,0.999797264784318
"2002/04",80.83023511,79.0069307623154,78.9635535521201,0.998890800483547,1.000549332043
"2002/05",82.06994188,79.2830670579975,79.182188739414,1.02828909695634,1.00127400265375
"2002/06",79.7212702,79.1806542246877,79.4723362235308,1.01844254305621,0.996329766901244
"2002/07",79.92718369,79.6633452747819,79.7526053610128,0.996894128696499,0.998880787833491
"2002/08",80.30576052,80.1636435043336,79.9488517483327,1.0010958389787,1.00268661464554
"2002/09",78.38017964,80.461136500263,80.0438718774375,0.980919657867742,1.00521294901207
"2002/10",81.60773861,80.1586422815422,80.0620945183948,1.00949160292615,1.00120591103353
