"Period","ByM","ByM_SA","Tendencia","FE","Irregular"
"2001/01",164.4506556,150.851011709635,155.027168801054,0.105996438903651,0.0182384290858118
"2001/02",159.626907,152.586828686306,157.495152221089,0.0404007831369407,0.0251691670628793
"2001/03",160.2687155,155.130789325441,159.520031536114,0.0213792617455863,0.0161075778932763
"2001/04",157.7915287,157.822666884158,161.277777851183,-0.0303113818415779,0.025448890329752
"2001/05",160.3100925,158.328380899373,163.190729658281,-0.0101828839937274,0.0113765124109197
"2001/06",163.2575791,162.247750346162,165.783458191251,-0.0199017124616152,0.024642921549107
"2001/07",161.9934945,164.300827234839,168.592848780106,-0.0530733273483893,0.0170797845473328
"2001/08",162.1637886,167.512687483921,171.607004334835,-0.0834889888392081,0.019056831490862
"2001/09",164.8990509,171.130837446161,174.143407710364,-0.0923178654616147,0.0298742973579694
"2001/10",163.8291804,170.857111471944,175.703805926324,-0.100279310719443,0.0115330554562055
"2001/11",173.831136,174.029883304956,176.295692208402,-0.0319874730495624,0.0373419109655444
"2001/12",198.8803218,170.331235531979,175.904562800222,0.255490862680206,0.00426672731757527
"2002/01",186.5421075,172.847088354507,177.133477820146,0.10695019145493,0.0171361053436067
"2002/02",181.646178,174.699140851252,181.906210961997,0.0394703714874782,0.00414770764255572
"2002/03",190.99857,186.145463347535,186.734981632435,0.018531066524648,0.0541048171510023
"2002/04",182.5830419,182.485963718291,188.970812805806,-0.0290292181829113,-0.00484849087514734
"2002/05",190.993341,188.741636700343,191.757722861984,-0.00748295700342615,0.0298391383835882
"2002/06",191.9306985,191.058375400701,194.724965703101,-0.0212767690070094,0.0233340969760013
"2002/07",189.7433854,192.095366999024,196.871588349524,-0.0535198159902422,0.0122377864950059
"2002/08",190.3857798,196.193771630838,199.888784410672,-0.0880799183083833,0.0230498722016686
"2002/09",192.0045977,199.112943866867,202.309593184899,-0.101083461668669,0.0280335068196769
"2002/10",191.783884,198.872760170891,203.911220413254,-0.100888761708909,0.00961539757637272
"2002/11",202.2324983,202.787227628693,205.651016987383,-0.0355472932869297,0.0313621064130991
"2002/12",232.1884835,202.137051252446,207.919921261249,0.270514322475539,0.00217129991197481
"2003/01",223.470451,208.523868506888,212.015620073079,0.119465824931122,0.0250824843380879
"2003/02",218.3466301,211.002439394891,214.972366155004,0.0434419070510924,0.0397959672292222
"2003/03",213.6489581,209.617633909777,215.370887234514,0.0103132419022309,0.00246746675262711
"2003/04",213.7522318,213.228413300169,217.155724532574,-0.0247618150016919,0.0207268876759491
"2003/05",218.7614019,216.521788187198,219.654599877865,-0.00760386287198329,0.02867188309333
"2003/06",216.8848022,216.450596465618,220.625010256161,-0.0256579426561761,0.0182558620945655
"2003/07",214.7892899,217.039349707369,222.579411015081,-0.0525005980736896,0.00459938692287669
"2003/08",216.9308607,223.736254750002,225.796464417348,-0.0980539405000174,0.039397903326536
"2003/09",214.3248929,222.721158897875,228.547453142536,-0.113962659978754,0.00173705755338988
"2003/10",221.8690291,229.008516312342,231.68814671114,-0.101394872123422,0.0332036960120196
"2003/11",228.9633614,230.076106655406,234.093260702433,-0.0411274525540593,0.0198284595297274
"2003/12",263.5477622,231.254469448878,236.113984826704,0.292932927511214,0.0114048462217437
"2004/01",251.684813,235.900983440542,237.990396730643,0.127838295594579,0.039105867098992
"2004/02",246.6582682,239.383798207365,238.56844600191,0.0427446999263531,0.0043625906235116
"2004/03",239.5941621,236.224601057343,242.042222405338,0.00369561042656676,0.00182378652005178
"2004/04",247.5524689,246.572018674021,248.455835002802,-0.0201954977402129,0.0411618367121876
"2004/05",250.4780837,248.620978508988,252.339384150376,-0.0114289480898783,0.0228159435861177
"2004/06",249.9586908,249.649346205755,254.688989930006,-0.0269065540575542,0.00960356275749658
"2004/07",253.209837,254.81992269505,257.628197273362,-0.0461008569505039,0.0319172542168839
"2004/08",247.2654974,255.30566851124,259.464180474461,-0.110401711112396,0.0184148803677865
"2004/09",247.0833239,256.401118693081,262.073905522633,-0.123177947930809,0.00327213170448216
"2004/10",256.4415319,264.136015249906,265.942618827633,-0.106944833499067,0.0419339642227365
"2004/11",261.4083071,263.211062016814,268.187837687835,-0.0480275491681416,0.0102322432897884
"2004/12",301.1144612,266.218446379857,270.363311364117,0.318960148201432,0.0185513501573943
"2005/01",286.2428429,269.749060677648,273.905774694534,0.134937822223521,0.0184328598311419
"2005/02",279.4754696,271.497912156045,276.336492175924,0.0497755744395449,0.0365673667297835
"2005/03",275.7487864,271.715037012623,277.375279319933,0.0103374938737713,0.00339757692689747
"2005/04",276.8744699,276.059133656867,279.229817348827,-0.0218466375686696,0.0282931630803952
"2005/05",278.0150612,277.086014239919,281.632779956731,-0.0207095303991938,0.0145323428318827
"2005/06",280.4101878,280.301579940962,284.589101938693,-0.0289139214096222,0.0171247800226909
"2005/07",283.2718327,284.709055057945,287.417069566794,-0.0443722235794571,0.0329198549115195
"2005/08",274.7192907,283.982817627325,290.263401976922,-0.122635269273247,-0.00280584349597095
"2005/09",282.3187502,292.317000857246,294.797499967789,-0.129982506572462,0.0351950088945654
"2005/10",285.511997,294.708083687821,297.581219895588,-0.121960866878214,0.0312686379223299
"2005/11",290.3554473,292.722761781658,298.703260335676,-0.0536731448165851,0.000195014459820104
"2005/12",336.0732543,298.57631214846,301.941152550132,0.344969421515399,0.0263515959832787
"2006/01",318.6536961,301.85867221797,306.397067917314,0.137950238820303,0.0146160430065559
"2006/02",312.792725,304.502880724929,311.481925169793,0.0528984427507142,0.0181374774263592
"2006/03",318.642681,313.47740510343,317.146985179334,0.0216527589656999,0.0233041992409596
"2006/04",318.8551994,318.402940210351,322.166355626224,-0.025477408103505,0.0223658458412667
"2006/05",322.6664817,322.363884321871,327.912939990023,-0.0269740262187116,0.00450944331848057
"2006/06",332.3557529,332.504584361152,334.25899028415,-0.0314883146115223,0.0424559407700197
"2006/07",332.2961895,333.867266549821,337.286604239438,-0.0457107704982105,0.0258066231038265
"2006/08",323.2699855,332.982819161271,339.23306953452,-0.12712833661271,-0.00250250373248678
"2006/09",329.9073608,341.04157956948,342.460297697505,-0.141342187694803,0.0458128187197562
"2006/10",327.9954567,338.773856894743,346.013620358293,-0.137784001947434,-0.0123976346354977
"2006/11",347.3579487,349.428215255208,350.507064350185,-0.050702665552077,0.0492115090502257
"2006/12",389.4713962,348.543217956389,352.770250018281,0.379281782436109,0.0177296793810778
"2007/01",366.7441395,348.652077643111,353.885710509233,0.150920618568885,0.00766367133878283
"2007/02",359.358747,350.327069824182,358.184573805786,0.0603167717581773,0.0135105625946782
"2007/03",367.2825116,361.017344115159,362.85109349507,0.0326516748484109,0.0416625062008846
"2007/04",359.960622,360.03918124296,364.358127343112,-0.0307855924296038,0.0168105389984887
"2007/05",359.9939373,360.341231333518,366.251403490895,-0.0334729403351755,0.000898278426229426
"2007/06",366.1519317,368.177127850565,370.523882615787,-0.0502519615056495,0.0365324523477811
"2007/07",366.7490953,369.402842975053,375.26902553648,-0.0565374767505282,0.00133817438572271
"2007/08",367.9546182,378.094460816403,380.473345768313,-0.131398426164035,0.0362111504809015
"2007/09",367.2999572,380.486825934167,382.913389619172,-0.161868687341673,0.0357343631499533
"2007/10",364.9202974,376.708807170987,383.713470035969,-0.147885097709873,-0.010046628649814
"2007/11",382.3195605,384.842563418435,386.964882297647,-0.055230029184348,0.038776811207878
"2007/12",429.9795899,385.554539924715,389.330482807836,0.414250499752849,0.0222405711687912
"2008/01",405.9796342,385.583424437373,388.744474064454,0.173962097626272,0.0283895037291882
